sample_id,shimadzu_date,mbc_ug_g_soil,mbn_ug_g_soil,kec_value,ken_value
356,20210409,236.01250060459495,33.63427908101573,0.45,0.5
357,20210409,7003.624899997904,13.178579290356879,0.45,0.5
358,20210409,133.96704146736568,12.089635166264877,0.45,0.5
359,20210409,154.92985241296202,18.288157197085237,0.45,0.5
360,20210409,9376.834222904861,25.626170446340065,0.45,0.5
361,20210409,495.3274204271452,26.187562955951613,0.45,0.5
362,20210409,123.62801277093291,17.86625992617096,0.45,0.5
363,20210409,271.8414760057598,35.032202512562804,0.45,0.5
364,20210409,331.44692898924086,39.97649357978741,0.45,0.5
365,20210409,346.9441066408123,35.549091850171415,0.45,0.5
366,20210409,209.25056850042617,35.64205461250614,0.45,0.5
367,20210409,125.51079605196779,28.85143596362374,0.45,0.5
368,20210409,150.31086367474686,17.780683226468582,0.45,0.5
369,20210409,202.42712168209616,29.150820970922638,0.45,0.5
370,20210409,143.06643430277612,21.85250376188246,0.45,0.5
371,20210409,189.52472028420266,27.733809149041452,0.45,0.5
415,20210409,117.90542338726894,12.96899150860834,0.45,0.5
416,20210409,168.52880228355957,21.36769376558302,0.45,0.5
417,20210409,151.97029803468988,19.87156668748773,0.45,0.5
418,20210409,151.9615926665797,19.47357000814948,0.45,0.5
419,20210409,56.18285300547732,17.883939161710426,0.45,0.5
420,20210409,0.4570986887508689,19.839356024844722,0.45,0.5
421,20210409,68.16879458583894,11.351994189394397,0.45,0.5
422,20210409,148.43379312394487,11.542898266117227,0.45,0.5
423,20210409,338.9305051718681,41.490479390902856,0.45,0.5
424,20210409,284.62605409904285,31.84263595505619,0.45,0.5
425,20210409,214.30143442044334,28.587713850063544,0.45,0.5
426,20210409,274.9020950086591,29.807154867984398,0.45,0.5
427,20210409,249.54708477219083,35.152629574393146,0.45,0.5
428,20210409,168.13161207070704,23.554627287878784,0.45,0.5
429,20210409,181.0561255686082,30.99618539687795,0.45,0.5
430,20210409,110.41810361397222,22.221754113540698,0.45,0.5
431,20210409,111.50129476180228,31.00464611314948,0.45,0.5
432,20210409,451.9517300003588,48.917723015468525,0.45,0.5
433,20210409,486.1696123017232,48.3719525046538,0.45,0.5
434,20210409,494.5229025954951,57.89165836559343,0.45,0.5
471,20210409,160.54294613128909,16.541427905516173,0.45,0.5
472,20210409,205.6376979209693,22.29823890954151,0.45,0.5
473,20210409,168.15634984592864,23.222602783584485,0.45,0.5
474,20210409,90.25158904247611,19.648941991844797,0.45,0.5
475,20210409,155.81532187089678,19.82427405473798,0.45,0.5
476,20210409,171.22537336320462,20.469013160075434,0.45,0.5
blank_b_unknown_date,20210409,NA,NA,0.45,0.5
blank_b_round5_2020,20210409,NA,NA,0.45,0.5
blank_c_round4_2020,20210409,NA,NA,0.45,0.5
blank_c_round5_2020,20210409,NA,NA,0.45,0.5
