sample_id,grav_soil_water_content,site,treatment,position,replicate,date_coll,regions,year
110,0.508822156,GM1,UD,B,2,20191025,RR,2019
111,0.521733604,GM1,UD,B,3,20191025,RR,2019
112,0.287858326,GM1,CV,B,1,20191025,RR,2019
113,0.319361198,GM1,CV,B,2,20191025,RR,2019
114,0.306454441,GM1,CV,B,3,20191025,RR,2019
115,0.366938921,RR2,CV,A,1,20191025,RR,2019
116,0.358525333,RR2,CV,A,2,20191025,RR,2019
117,0.371285282,RR2,CV,A,3,20191025,RR,2019
118,0.274558244,RR2,SH,A,1,20191025,RR,2019
119,0.281214476,RR2,SH,A,2,20191025,RR,2019
120,0.319969962,RR2,SH,A,3,20191025,RR,2019
121,0.360273639,RR2,UD,A,1,20191025,RR,2019
122,0.469887462,RR2,UD,A,2,20191025,RR,2019
123,0.462372487,RR2,UD,A,3,20191025,RR,2019
124,0.399815962,RR2,CV,B,1,20191025,RR,2019
125,0.380801153,RR2,CV,B,2,20191025,RR,2019
126,0.348228173,RR2,CV,B,3,20191025,RR,2019
127,0.326016335,RR2,SH,B,1,20191025,RR,2019
128,0.317868827,RR2,SH,B,2,20191025,RR,2019
129,0.315056239,RR2,SH,B,3,20191025,RR,2019
130,0.414409884,RR4,CV,A,1,20191025,RR,2019
131,0.369136,RR4,CV,A,2,20191025,RR,2019
132,0.38504493,RR4,CV,A,3,20191025,RR,2019
133,0.389823375,RR4,SH,B,1,20191025,RR,2019
134,0.406374104,RR4,SH,B,2,20191025,RR,2019
135,0.395590888,RR4,SH,B,3,20191025,RR,2019
136,0.460168617,RR4,UD,A,1,20191025,RR,2019
137,0.4364405,RR4,UD,A,2,20191025,RR,2019
138,0.430930112,RR4,UD,A,3,20191025,RR,2019
139,0.502098026,RR4,SH,A,1,20191025,RR,2019
140,0.519867914,RR4,SH,A,2,20191025,RR,2019
141,0.501328323,RR4,SH,A,3,20191025,RR,2019
142,0.228074708,ST1,CV,A,1,20191031,ST,2019
143,0.202914051,ST1,CV,A,2,20191031,ST,2019
144,0.21549438,ST1,CV,A,3,20191031,ST,2019
145,0.171505506,ST1,SH,A,1,20191031,ST,2019
146,0.179634741,ST1,SH,A,2,20191031,ST,2019
147,0.125157211,ST1,SH,A,3,20191031,ST,2019
148,0.260791433,ST1,UD,A,1,20191031,ST,2019
149,0.248641966,ST1,UD,A,2,20191031,ST,2019
150,0.247898053,ST1,UD,A,3,20191031,ST,2019
151,0.186777821,ST1,CV,B,1,20191031,ST,2019
152,0.183151038,ST1,CV,B,2,20191031,ST,2019
153,0.185357828,ST1,CV,B,3,20191031,ST,2019
154,0.207196075,ST1,SH,B,1,20191031,ST,2019
155,0.137954608,ST1,SH,B,2,20191031,ST,2019
156,0.293830666,ST1,SH,B,3,20191031,ST,2019
157,0.170553768,ST4,CV,A,1,20191031,ST,2019
158,0.172390126,ST4,CV,A,2,20191031,ST,2019
