sample_id,type,mass
165,c,9.9828
166,b,10.0404
166,c,9.9889
167,b,9.9884
167,c,10.0212
168,b,10.0469
168,c,10.0258
169,b,10.05
169,c,10.0474
170,b,10.04
170,c,10.0169
171,b,10.0225
171,c,10.03
172,b,10.0359
172,c,10.0038
173,b,9.9651
173,c,9.9938
174,b,9.9648
174,c,9.979
175,b,10.021
175,c,10.0326
176,b,9.9789
176,c,9.9624
177,b,10.0198
177,c,9.9615
178,b,9.9816
178,c,9.9789
179,b,9.9687
179,c,9.9859
180,b,9.9915
180,c,9.9837
181,b,9.9917
181,c,9.9718
182,b,10.0021
182,c,9.9736
183,b,9.9813
183,c,9.9769
184,b,9.9903
184,c,9.9663
185,b,9.9996
185,c,9.9598
186,b,9.9872
186,c,9.9727
187,b,10.0096
187,c,10.0017
188,b,9.9885
188,c,9.9588
189,b,9.9767
189,c,10.0031
190,b,9.9684
190,c,9.9743
191,b,10.0075
191,c,9.9797
192,b,10.0223
192,c,9.9946
193,b,9.979
193,c,10.0008
194,b,10.0072
194,c,10.0299
195,b,9.9936
195,c,9.9734
196,b,9.9805
196,c,9.9864
197,b,9.9803
197,c,9.9602
198,b,9.9544
198,c,10.0037
199,b,9.9745
199,c,9.978
200,b,9.9853
200,c,9.955
201,b,9.9746
201,c,9.9786
202,b,9.9998
202,c,9.988
203,b,9.9921
203,c,9.9726
204,b,10.0216
204,c,9.9697
205,b,9.9983
205,c,9.9616
206,b,9.9781
206,c,9.9967
207,b,10.0172
207,c,9.9788
208,b,10.0521
208,c,10.029
209,b,9.97
209,c,10.01
210,b,10.02
210,c,9.99
211,b,10.03
211,c,10.01
212,b,10.03
212,c,10
213,b,10.05
213,c,9.98
214,b,9.99
214,c,9.96
215,b,10.02
215,c,10.03
216,b,9.99
216,c,10
217,b,10.02
217,c,10
218,b,10.01
218,c,9.98
219,b,10.01
219,c,10.04
220,b,9.99
220,c,10.02
221,b,10
221,c,10.03
222,b,10
222,c,10.02
223,b,10
223,c,10.01
224,b,10
224,c,10.04
225,b,10.01
225,c,10.03
226,b,9.9598
226,c,10.05
227,b,9.9991
227,c,10.047
228,b,10.0423
228,c,10.05
229,b,10.026
229,c,10.0385
230,b,9.952
230,c,10.0268
231,b,10.0043
231,c,9.964
232,b,10.012
232,c,10.0242
233,b,9.9761
233,c,9.9841
234,b,10.0067
234,c,10.0135
235,b,9.9736
235,c,9.9695
236,b,10.05
236,c,9.9873
237,b,9.9593
237,c,9.9896
238,b,10.0023
238,c,9.997
239,b,9.967
239,c,10.005
240,b,10.0151
240,c,10.0417
241,b,10.05
241,c,10.0495
242,b,9.9936
242,c,9.9742
243,b,10.04
243,c,9.98
244,b,10.0137
244,c,10.0439
245,b,10.0653
245,c,10.0442
246,b,10.037
246,c,10.0218
247,b,10.0031
247,c,10.0339
248,b,10.0476
248,c,10.0471
249,b,10.0447
249,c,9.9677
250,b,10.0125
250,c,10.0323
251,b,10.0151
251,c,10.0537
252,b,10.0416
252,c,10.0413
253,b,10.03
253,c,10.0009
254,b,10.01
254,c,10.02
255,b,10.03
255,c,10.03
256,b,10.01
256,c,10.04
257,b,10.04
257,c,10
258,b,9.99
258,c,9.99
259,b,10.01
259,c,10.03
260,b,10.02
260,c,10
261,b,10.05
261,c,9.99
262,b,10.04
262,c,10.04
263,b,10.01
263,c,10
264,b,10.02
264,c,9.98
265,b,10.05
265,c,10.03
266,b,10.02
266,c,10.05
267,b,10.02
267,c,9.99
268,b,10.01
268,c,10
269,b,10.04
269,c,10.02
270,b,10.05
270,c,10
271,b,10.05
271,c,10
272,b,10.01
272,c,10.02
273,b,10.04
273,c,10
274,b,9.97
274,c,9.99
275,b,9.99
275,c,10
276,b,10.02
276,c,10.04
277,b,9.98
277,c,10
278,b,10
278,c,10.02
279,b,10
279,c,10.05
280,b,9.99
280,c,10.02
281,b,10.01
281,c,9.99
282,b,9.99
282,c,9.97
283,b,10.02
283,c,9.95
284,b,10.02
284,c,9.96
285,b,9.98
285,c,10.03
286,b,10.01
286,c,10.01
287,b,9.98
287,c,10.05
288,b,9.96
288,c,10
289,b,10.05
289,c,9.96
290,b,10.04
290,c,10.05
291,b,10.04
291,c,9.99
292,b,10.05
292,c,10.02
293,b,9.99
293,c,10.02
294,b,9.95
294,c,10.05
295,b,10.04
295,c,10.03
296,b,9.96
296,c,10.04
297,b,10.05
297,c,10
298,b,10.03
298,c,10.02
299,b,10.05
299,c,10
300,b,9.99
300,c,9.98
301,b,9.98
301,c,10.03
302,b,10.04
302,c,10.05
303,b,10.02
303,c,9.96
304,b,10.05
304,c,9.96
305,b,9.97
305,c,9.97
306,b,10.02
306,c,10.01
307,b,10.05
307,c,9.98
308,b,10
308,c,9.95
309,b,10.04
309,c,9.97
310,b,10
310,c,9.97
311,b,10
311,c,9.98
312,b,9.99
312,c,9.98
313,b,9.95
313,c,9.96
314,b,9.98
314,c,10.04
315,b,9.98
315,c,10.02
316,b,10.05
316,c,10.05
317,b,9.98
317,c,10.05
318,b,9.96
318,c,10.02
319,b,10.04
319,c,10
320,b,9.98
320,c,10
321,b,9.97
321,c,10.05
322,b,10.03
322,c,9.98
323,b,10.05
323,c,9.96
324,b,10
324,c,10
325,b,10
325,c,10
326,b,10
326,c,10
327,b,10
327,c,10
328,b,10
328,c,10
329,b,10
329,c,10
330,b,10
330,c,10
331,b,10
331,c,10
332,b,10
332,c,10
333,b,10
333,c,10
334,b,10
334,c,10
335,b,10
335,c,10
336,b,10
336,c,10
337,b,10
337,c,10
338,b,10
338,c,10
339,b,10
339,c,10
340,b,10
340,c,10
341,b,10
341,c,10
342,b,10
342,c,10
343,b,10
343,c,10
344,b,10
344,c,10
345,b,10
345,c,10
346,b,10
346,c,10
347,b,10
347,c,10
348,b,10
348,c,10
349,b,10
349,c,10
350,b,10
350,c,10
351,b,10
351,c,10
352,b,10
352,c,10
353,b,10
353,c,10
354,b,10
354,c,10
355,b,10
355,c,10
356,b,10
356,c,10
357,b,10.01
357,c,10
358,b,9.95
358,c,10.02
359,b,9.99
359,c,9.96
360,b,10.02
360,c,10
361,b,10
361,c,10.01
362,b,9.96
362,c,9.99
363,b,9.95
363,c,9.98
364,b,10.01
364,c,10.03
365,b,10
365,c,9.96
366,b,10.01
366,c,9.98
367,b,10.05
367,c,10
368,b,10.03
368,c,10.05
369,b,10.04
369,c,10.03
370,b,10.02
370,c,10.05
371,b,10.01
371,c,9.98
372,b,10.04
372,c,9.99
373,b,10.02
373,c,9.97
374,b,9.99
374,c,10.02
375,b,10.03
375,c,9.96
376,b,10.01
376,c,9.96
377,b,10.02
377,c,10.04
378,b,9.99
378,c,10.04
379,b,9.99
379,c,9.97
380,b,10
380,c,10
381,b,10.02
381,c,10.04
382,b,10.04
382,c,10.01
383,b,10
383,c,10.02
384,b,10
384,c,9.99
385,b,10.01
385,c,10.02
386,b,10.05
386,c,9.97
387,b,10.01
387,c,10.02
388,b,10.01
388,c,10.02
389,b,9.98
389,c,10.02
390,b,9.98
390,c,10.05
391,b,10.02
391,c,10
392,b,10.02
392,c,10.02
393,b,10.03
393,c,10.02
394,b,9.98
394,c,10.02
395,b,10.02
395,c,9.99
396,b,10.02
396,c,9.99
397,b,10.01
397,c,10.02
398,b,10
398,c,9.99
399,b,10.02
399,c,10.04
400,b,10.01
400,c,10.05
401,b,10.02
401,c,10.02
402,b,10.02
402,c,9.98
403,b,9.98
403,c,9.98
404,b,9.99
404,c,10.05
405,b,10.05
405,c,10.05
406,b,9.98
406,c,10.02
407,b,9.96
407,c,10.01
408,b,9.958
408,c,10
409,b,9.95
409,c,9.98
410,b,9.98
410,c,10.04
411,b,10.04
411,c,9.98
412,b,9.98
412,c,9.97
413,b,10.01
413,c,9.98
414,b,10.03
414,c,10.04
415,b,10
415,c,9.96
416,b,9.9799
416,c,10.0341
417,b,10.04
417,c,9.99
418,b,9.97
418,c,10
419,b,10
419,c,10.02
420,b,9.97
420,c,9.97
421,b,9.98
421,c,10.06
422,b,9.97
422,c,10.03
423,b,9.99
423,c,10.03
424,b,10.02
424,c,10.02
425,b,9.98
425,c,9.98
426,b,10
426,c,10.04
427,b,10.02
427,c,10.03
428,b,10.06
428,c,9.96
429,b,9.97
429,c,10.04
430,b,9.98
430,c,9.99
431,b,9.99
431,c,10.02
432,b,10.01
432,c,10.06
433,b,10.03
433,c,10.02
434,b,10.02
434,c,10.04
435,b,10.04
435,c,10
436,b,9.97
436,c,10.04
437,b,10.01
437,c,10.01
438,b,10
438,c,9.98
439,b,10.05
439,c,10.04
440,b,10
440,c,10.01
441,b,10.04
441,c,10
442,b,10.02
442,c,10
443,b,10.03
443,c,9.96
444,b,10.04
444,c,10
445,b,10.03
445,c,10.01
446,b,10.02
446,c,10.01
447,b,10.02
447,c,10.01
